CustomerID,Churn,Churn_Probability,Segment,Persona_ID,Customer_Persona,Future_CLV,Log_Future_CLV,Predicted_CLV,Revenue_at_Risk,Risk_Score,Risk_Category,Customer_Action
12346,1,0.6388750196390701,Lost Customers,1,Active Customers,0.0,0.0,19.41639641607172,12.40465064163779,0.00870795793850214,Medium Risk,Elevated Risk
12347,0,0.1474397941582577,Champions,2,VIP Customers,1519.14,7.326557714862051,393.6056932158425,58.033142387262146,0.04073876625361074,Critical Risk,Monitor
12348,0,0.4382205890642778,At Risk,0,Dormant Customers,310.0,5.739792912179234,55.95060427496961,24.518706763879482,0.01721192102659176,High Risk,Elevated Risk
12350,1,0.7572435749646945,Lost Customers,0,Dormant Customers,0.0,0.0,4.608590564989614,3.4898255949812964,0.0024498275180600353,Low Risk,Elevated Risk
12352,0,0.3262083146029556,At Risk,0,Dormant Customers,944.23,6.851428284123502,153.86866525830607,50.19323796411837,0.03523522085512467,Critical Risk,Elevated Risk
12353,1,0.6762586118339108,Lost Customers,0,Dormant Customers,0.0,0.0,3.2785773378166825,2.2171661592620286,0.0015564315525918731,Low Risk,Elevated Risk
12354,1,0.6715177317485681,Lost Customers,0,Dormant Customers,0.0,0.0,14.40454039003714,9.672904289598375,0.006790295521443116,Medium Risk,Elevated Risk
12355,1,0.6706456041140054,Lost Customers,0,Dormant Customers,0.0,0.0,7.867079949558152,5.276022585384606,0.0037037224250315963,Low Risk,Elevated Risk
12356,0,0.5346397856488212,Lost Customers,0,Dormant Customers,58.35,4.083452121055677,55.76772178833711,29.81564282303965,0.020930324530135498,High Risk,High Retention
12358,0,0.5627302918562386,Need Attention,2,VIP Customers,683.2,6.528250272543504,16.018101595756157,9.013870985962743,0.0063276598169865915,Medium Risk,Elevated Risk
12359,0,0.3609262376070897,At Risk,2,VIP Customers,2814.3,7.942824106831463,212.15549423420524,76.5724843216243,0.053753224656013565,Critical Risk,Elevated Risk
12360,0,0.4418217049747568,Potential Loyalists,2,VIP Customers,1043.78,6.9515616159193465,90.877961966077,40.15185610048324,0.02818625724953391,Critical Risk,Elevated Risk
12361,1,0.7093168273587501,Lost Customers,0,Dormant Customers,0.0,0.0,7.290999208417128,5.171628426789596,0.0036304386245979673,Low Risk,Elevated Risk
12362,0,0.2879962279282017,Champions,2,VIP Customers,3478.88,8.154753089415355,231.6640610849068,66.71837573898165,0.046835725281137525,Critical Risk,Monitor
12363,1,0.4867503320482407,Potential Loyalists,2,VIP Customers,0.0,0.0,36.76854539206735,17.897101678519594,0.012563611272898218,High Risk,Elevated Risk
12364,0,0.5611669796341001,Potential Loyalists,2,VIP Customers,689.18,6.536952433135974,14.72772812338063,8.2647147078697,0.005801758560477064,Medium Risk,Elevated Risk
12365,1,0.6304619058910894,Lost Customers,0,Dormant Customers,0.0,0.0,13.590043938000528,8.56800500229546,0.006014665735641711,Medium Risk,Elevated Risk
12370,0,0.4684267013009234,At Risk,0,Dormant Customers,739.28,6.607028493009548,35.20305258241467,16.490049796903456,0.011575872967614847,High Risk,Elevated Risk
12372,0,0.5716469978879558,Lost Customers,0,Dormant Customers,383.12,5.950955003769772,27.53383133844804,15.739632024977137,0.011049086153296623,High Risk,High Retention
12373,1,0.7563298563596575,Lost Customers,0,Dormant Customers,0.0,0.0,3.966743939755141,3.0001668741705476,0.0021060913123237494,Low Risk,Elevated Risk
12375,0,0.5422642737282298,Potential Loyalists,2,VIP Customers,227.2,5.430222437427975,16.86735351842134,9.14656320538405,0.006420808612455988,Medium Risk,Elevated Risk
12377,1,0.6156391375618295,Lost Customers,0,Dormant Customers,0.0,0.0,14.99870247424323,9.23378825578958,0.006482039846777537,Medium Risk,Elevated Risk
12378,1,0.4938067680713262,Potential Loyalists,2,VIP Customers,0.0,0.0,25.58418799803171,12.633645189037251,0.008868710138987938,High Risk,Elevated Risk
12379,0,0.5766336139984094,Need Attention,2,VIP Customers,392.4,5.974826905954958,13.705343359384663,7.902961672411079,0.0055478110445087115,Medium Risk,Elevated Risk
12380,0,0.5826088353441595,Need Attention,2,VIP Customers,2117.26,7.658350275945514,16.233751546659946,9.457927081866,0.006639383372705408,Medium Risk,Elevated Risk
12381,0,0.5374940569236207,Potential Loyalists,2,VIP Customers,576.57,6.358829647171565,20.32212553690894,10.9230217001443,0.007667867179340759,Medium Risk,Elevated Risk
12383,1,0.2514859828872223,Need Attention,2,VIP Customers,0.0,0.0,298.9954885771313,75.19317432366512,0.052784960914182125,Critical Risk,Monitor
12384,0,0.5538340454345249,Potential Loyalists,2,VIP Customers,292.58,5.682150174529087,18.879828444619985,10.456291764593699,0.007340226783425679,Medium Risk,Elevated Risk
12386,1,0.6830056955228183,Lost Customers,0,Dormant Customers,0.0,0.0,7.253649762580224,4.954284101170032,0.0034778647794858415,Low Risk,Elevated Risk
12388,0,0.3264140871779874,Need Attention,2,VIP Customers,1112.3200000000002,7.015101821183019,152.03490023735688,49.626333180173226,0.03483725857820575,Critical Risk,Elevated Risk
12393,0,0.3775828833453729,At Risk,0,Dormant Customers,521.5,6.258624983838966,56.2631147630515,21.2439890982246,0.014913097422702852,High Risk,Elevated Risk
12394,0,0.6916368441179306,Lost Customers,0,Dormant Customers,891.4000000000001,6.793914462558377,6.508321250725258,4.5013947703572805,0.003159940368920328,Low Risk,Elevated Risk
